2.100000000000000000e+01 7.823687164588524183e+02 7.929050412745299731e-03 5.455536243525636268e-04 1.577109630247145455e+00
2.200000000000000000e+01 7.913436333821678090e+02 9.069029683293103675e-03 5.971052309725461121e-04 1.665566423556242848e+00
2.300000000000000000e+01 8.000140383117161491e+02 1.033292134050286734e-02 6.508293948762584403e-04 1.750499116125884713e+00
2.400000000000000000e+01 8.087307116384647543e+02 1.169445311031048346e-02 7.067056822425408537e-04 1.831922716743791035e+00
2.500000000000000000e+01 8.176744457925005918e+02 1.317901855989045759e-02 7.647224705039623030e-04 1.904628132884266023e+00
2.600000000000000000e+01 8.263868134263163938e+02 1.483316089334975156e-02 8.248713291630801721e-04 1.974171665686255350e+00
2.700000000000000000e+01 8.352315403659131334e+02 1.671172634647545563e-02 8.871484485191688920e-04 2.041438501935811001e+00
2.800000000000000000e+01 8.440044239117306688e+02 1.884244234333005280e-02 9.515498594556098637e-04 2.101666616742988491e+00
2.900000000000000000e+01 8.527130060775194806e+02 2.123498384027238187e-02 1.018067087204546205e-03 2.161414139196397244e+00
3.000000000000000000e+01 8.616260762692168100e+02 2.388996105443184220e-02 1.086686487755527926e-03 2.215023098218615427e+00
3.100000000000000000e+01 8.700405750706687513e+02 2.678064413781343703e-02 1.157379061889721693e-03 2.270637218775948263e+00
3.200000000000000000e+01 8.786579620624436302e+02 2.990969541068632873e-02 1.230117214099073512e-03 2.320832201548600704e+00
3.300000000000000000e+01 8.869921338774214519e+02 3.325725442462984516e-02 1.304895166154268005e-03 2.366495879189032259e+00
3.400000000000000000e+01 8.951152342431068973e+02 3.686741802332805379e-02 1.381712768335275178e-03 2.411375587470989235e+00
3.500000000000000000e+01 9.037566066297158613e+02 4.072539153859914413e-02 1.460571428784414360e-03 2.445370614789299069e+00
3.600000000000000000e+01 9.121075287404472647e+02 4.483467176446304103e-02 1.541468124940577030e-03 2.476852881756290259e+00
3.700000000000000000e+01 9.205055732899108989e+02 4.922154556066286879e-02 1.624381398121444277e-03 2.498002677665804416e+00
3.800000000000000000e+01 9.288622511671426309e+02 5.388073453812805558e-02 1.709287056108036926e-03 2.509273925025160334e+00
3.900000000000000000e+01 9.371355824841529056e+02 5.880529147332708151e-02 1.796169208988094863e-03 2.510800019115181136e+00
4.000000000000000000e+01 9.453639285793707359e+02 6.399046904000094127e-02 1.885013776856942543e-03 2.501612891148792706e+00
4.100000000000000000e+01 9.535573047353694847e+02 6.943510286828133427e-02 1.975806091225802610e-03 2.481203723925164972e+00
4.200000000000000000e+01 9.617237606993762711e+02 7.515184598326228593e-02 2.068530142161110856e-03 2.450833586679936449e+00
4.300000000000000000e+01 9.698578564766926320e+02 8.115663730324521041e-02 2.163169383214648758e-03 2.411806813947580785e+00
4.400000000000000000e+01 9.779912953386472054e+02 8.746325980135190303e-02 2.259707020905678352e-03 2.363823306630096432e+00
4.500000000000000000e+01 9.861706385255344003e+02 9.408267201417716552e-02 2.358126040736990923e-03 2.306278493129915397e+00
4.600000000000000000e+01 9.943488127680934667e+02 1.010215818364720158e-01 2.458409334395046317e-03 2.238992446084019150e+00
4.700000000000000000e+01 1.002512762729565793e+03 1.082814362910900358e-01 2.560539987607295988e-03 2.161626458573331355e+00
